Date,Close
2024-01-02,475.25
2024-01-03,471.60
2024-01-04,473.77
2024-01-05,476.15
2024-01-08,478.54
2024-01-09,479.00
2024-01-10,476.54
2024-01-11,478.98
2024-01-12,480.20
2024-01-16,481.27
2024-01-17,479.80
2024-01-18,478.72
2024-01-19,478.95
2024-01-22,481.73
2024-01-23,483.28
2024-01-24,481.44
2024-01-25,485.56
2024-01-26,487.05
2024-01-29,488.39
2024-01-30,490.25
2024-01-31,487.85
2024-02-01,487.76
2024-02-02,492.39
2024-02-05,493.64
2024-02-06,492.18
2024-02-07,495.22
2024-02-08,495.10
2024-02-09,496.35
2024-02-12,497.11
2024-02-13,497.67
