order_book_id,date,prev_close,close,volume,open,low,total_turnover,high
000300.XSHG,2025-01-02,3934.9109,3820.3952,21789872400.0,3931.8155,3796.3389,388636586639.3,3934.2034
000300.XSHG,2025-01-03,3820.3952,3775.1648,17534267600.0,3825.2426,3767.6653,304322755435.9,3835.9353
000300.XSHG,2025-01-06,3775.1648,3768.9697,15094667000.0,3775.9902,3743.0727,262803541116.2,3788.8489
000300.XSHG,2025-01-07,3768.9697,3796.1055,14645577900.0,3760.866,3749.0581,266855795347.4,3797.602
000300.XSHG,2025-01-08,3796.1055,3789.2153,16916696800.0,3781.261,3731.1887,300965725432.7,3810.7355
000300.XSHG,2025-01-09,3789.2153,3779.8773,12979400200.0,3780.7341,3768.681,251486002819.8,3795.2608
000300.XSHG,2025-01-10,3779.8773,3732.4806,13752317100.0,3778.8928,3732.4806,275354209064.3,3786.8069
000300.XSHG,2025-01-13,3732.4806,3722.513,13644619900.0,3704.4442,3704.1073,247861953196.7,3737.8852
000300.XSHG,2025-01-14,3722.513,3820.5395,17066465700.0,3728.5561,3718.8768,345461480063.6,3826.6399
000300.XSHG,2025-01-15,3820.5395,3796.026,14147552000.0,3810.0353,3790.1655,278850595531.7,3816.8284
000300.XSHG,2025-01-16,3796.026,3800.3836,14450587100.0,3812.1935,3776.2861,305734630771.3,3842.947
000300.XSHG,2025-01-17,3800.3836,3812.3429,12662196100.0,3788.3729,3780.2133,265437489593.6,3831.6404
000300.XSHG,2025-01-20,3812.3429,3829.6764,13958127700.0,3835.3042,3821.9815,292175449108.6,3858.6677
000300.XSHG,2025-01-21,3829.6764,3832.6145,14121840600.0,3850.3563,3817.1214,285073351693.4,3850.9106
000300.XSHG,2025-01-22,3832.6145,3797.0166,13725506200.0,3823.9447,3783.1438,298745637551.4,3823.9447
000300.XSHG,2025-01-23,3797.0166,3803.7439,18056955100.0,3829.0462,3801.8531,345198071113.9,3864.2585
000300.XSHG,2025-01-24,3803.7439,3832.8637,14897172200.0,3793.8498,3793.4836,296474375469.1,3847.6003
000300.XSHG,2025-01-27,3832.8637,3817.0802,14667077200.0,3836.9578,3817.0802,282940127540.6,3851.9969
000300.XSHG,2025-02-05,3817.0802,3795.0848,15716830800.0,3844.6998,3785.162,346016202025.2,3844.6998
000300.XSHG,2025-02-06,3795.0848,3842.8314,16728817600.0,3789.6086,3788.3196,371891971101.4,3843.4942
000300.XSHG,2025-02-07,3842.8314,3892.7028,22185770700.0,3844.0574,3833.8685,487381557078.2,3919.3499
000300.XSHG,2025-02-10,3892.7028,3901.0618,18890304000.0,3898.1023,3878.8314,384968342874.3,3906.3678
000300.XSHG,2025-02-11,3901.0618,3883.1352,16657490900.0,3905.1594,3872.9087,337866056115.9,3905.1594
000300.XSHG,2025-02-12,3883.1352,3919.8617,16422854000.0,3875.9596,3867.3538,354830596297.9,3920.7229
000300.XSHG,2025-02-13,3919.8617,3905.1398,17248587400.0,3913.9044,3904.9845,376473453306.6,3939.1978
000300.XSHG,2025-02-14,3905.1398,3939.0085,17297645200.0,3900.8274,3900.8274,360974236854.4,3942.0356
000300.XSHG,2025-02-17,3939.0085,3947.3983,21358824600.0,3954.4147,3921.7017,430929575563.2,3955.8959
000300.XSHG,2025-02-18,3947.3983,3912.7829,20942510100.0,3942.5761,3901.8675,400186229940.7,3965.4232
000300.XSHG,2025-02-19,3912.7829,3940.1602,18282951700.0,3906.2201,3904.1455,363680372562.7,3943.6742
000300.XSHG,2025-02-20,3940.1602,3928.8959,16389523600.0,3934.6503,3916.1772,325972429362.6,3940.678
